F1, F2, F3, F4, F5, F6, F7, F8, F9, F10, F11, F12, F13, F14, F15, F16, F17, F18, F19, F20, F21, F22, F23, F24, F25, F26, Class
52, 0, 3, 37, 48, 37, 44, 26, 51, 0, 59, 61, 19, 96, 0, 49, 68, 22, 103, 31, 0, 40, 1, 0, 32, 0, RNA
90, 0, 3, 6, 29, 8, 60, 2, 21, 0, 24, 41, 4, 20, 0, 37, 23, 13, 34, 28, 0, 36, 1, 0, 12, 0, RNA
2, 0, 7, 2, 3, 2, 6, 3, 2, 0, 9, 3, 1, 1, 0, 10, 8, 8, 7, 6, 0, 3, 1, 0, 2, 0, RNA
20, 0, 2, 6, 4, 3, 7, 5, 11, 0, 9, 21, 2, 8, 0, 18, 9, 1, 20, 21, 0, 11, 1, 0, 9, 0, RNA
15, 0, 0, 6, 5, 5, 14, 1, 4, 0, 11, 10, 1, 4, 0, 5, 6, 16, 2, 4, 0, 11, 0, 0, 8, 0, RNA
8, 0, 3, 8, 16, 9, 18, 3, 6, 0, 6, 11, 2, 8, 0, 6, 8, 14, 18, 11, 0, 8, 5, 0, 4, 0, RNA
6, 0, 6, 2, 5, 4, 3, 0, 9, 0, 10, 4, 3, 6, 0, 3, 8, 2, 4, 2, 0, 2, 0, 0, 2, 0, RNA
50, 0, 14, 51, 62, 28, 52, 31, 29, 0, 62, 85, 11, 31, 0, 24, 27, 38, 45, 29, 0, 47, 7, 0, 18, 0, RNA
33, 0, 4, 15, 19, 22, 38, 9, 10, 0, 17, 20, 16, 6, 0, 31, 12, 18, 26, 29, 0, 23, 2, 0, 12, 0, RNA
33, 0, 5, 30, 67, 13, 24, 10, 34, 0, 90, 37, 11, 20, 0, 23, 22, 39, 45, 31, 0, 34, 5, 0, 9, 0, RNA
13, 0, 0, 9, 4, 1, 4, 4, 9, 0, 13, 8, 3, 3, 0, 2, 2, 10, 7, 6, 0, 11, 0, 0, 1, 0, RNA
46, 0, 1, 17, 36, 8, 17, 1, 24, 0, 41, 36, 6, 11, 0, 20, 8, 9, 11, 11, 0, 28, 1, 0, 6, 0, RNA
4, 0, 2, 8, 10, 2, 4, 1, 6, 0, 2, 12, 2, 4, 0, 2, 2, 6, 6, 7, 0, 7, 0, 0, 2, 0, RNA
25, 0, 8, 21, 32, 21, 19, 10, 31, 0, 40, 44, 13, 33, 0, 16, 15, 29, 34, 19, 0, 22, 1, 0, 11, 0, RNA
24, 0, 11, 13, 17, 7, 16, 12, 9, 0, 31, 21, 8, 10, 0, 15, 24, 13, 22, 15, 0, 16, 1, 0, 9, 0, RNA
15, 0, 0, 11, 27, 6, 12, 6, 9, 0, 12, 21, 3, 4, 0, 16, 4, 16, 9, 3, 0, 26, 0, 0, 6, 0, RNA
6, 0, 0, 3, 8, 4, 15, 2, 8, 0, 9, 4, 1, 1, 0, 0, 8, 8, 3, 5, 0, 10, 0, 0, 5, 0, RNA
68, 0, 19, 48, 49, 55, 59, 19, 68, 0, 59, 86, 31, 55, 0, 45, 44, 40, 94, 66, 0, 73, 18, 0, 22, 0, RNA
41, 0, 1, 30, 28, 15, 38, 6, 20, 0, 43, 44, 28, 17, 0, 18, 18, 28, 17, 18, 0, 41, 0, 0, 2, 0, RNA
20, 0, 3, 30, 55, 31, 31, 11, 28, 0, 41, 47, 12, 12, 0, 18, 9, 35, 23, 24, 0, 27, 8, 0, 22, 0, RNA
16, 0, 2, 13, 27, 13, 20, 9, 11, 0, 14, 41, 11, 6, 0, 11, 16, 21, 15, 15, 0, 15, 7, 0, 5, 0, RNA
70, 0, 7, 50, 52, 29, 37, 16, 40, 0, 32, 59, 15, 18, 0, 31, 21, 50, 21, 32, 0, 44, 9, 0, 11, 0, RNA
48, 0, 6, 12, 12, 11, 26, 13, 14, 0, 14, 35, 14, 33, 0, 24, 36, 15, 36, 20, 0, 17, 2, 0, 13, 0, RNA
10, 0, 0, 7, 16, 11, 10, 4, 14, 0, 24, 18, 2, 7, 0, 9, 10, 14, 13, 7, 0, 17, 0, 0, 1, 0, RNA
11, 0, 0, 5, 7, 4, 5, 3, 7, 0, 11, 5, 3, 3, 0, 4, 5, 6, 2, 2, 0, 8, 0, 0, 3, 0, RNA
105, 0, 47, 130, 96, 86, 133, 59, 169, 0, 139, 163, 56, 112, 0, 121, 81, 77, 161, 150, 0, 141, 29, 0, 98, 0, RNA
145, 0, 52, 100, 117, 95, 155, 49, 114, 0, 118, 175, 61, 107, 0, 120, 91, 91, 155, 146, 0, 169, 32, 0, 93, 0, RNA
12, 0, 0, 8, 19, 2, 8, 5, 11, 0, 17, 22, 5, 4, 0, 9, 10, 22, 4, 8, 0, 7, 2, 0, 5, 0, RNA
53, 0, 11, 38, 34, 39, 65, 32, 33, 0, 29, 49, 8, 36, 0, 65, 43, 38, 78, 23, 0, 25, 10, 0, 20, 0, RNA
13, 0, 4, 7, 11, 11, 10, 6, 17, 0, 23, 19, 7, 6, 0, 7, 2, 18, 12, 9, 0, 7, 0, 0, 10, 0, RNA
11, 0, 5, 6, 14, 3, 18, 4, 12, 0, 31, 17, 1, 10, 0, 7, 6, 22, 10, 9, 0, 9, 3, 0, 10, 0, RNA
24, 0, 5, 30, 70, 42, 35, 6, 48, 0, 91, 83, 7, 30, 0, 24, 15, 45, 27, 33, 0, 53, 6, 0, 32, 0, RNA
7, 0, 4, 0, 0, 4, 10, 5, 0, 0, 11, 2, 2, 4, 0, 2, 2, 11, 10, 8, 0, 2, 1, 0, 3, 0, RNA
6, 0, 2, 19, 18, 6, 17, 2, 8, 0, 16, 9, 4, 11, 0, 2, 6, 9, 4, 4, 0, 6, 1, 0, 3, 0, RNA
22, 0, 3, 4, 7, 5, 13, 5, 9, 0, 21, 12, 1, 13, 0, 6, 8, 17, 7, 10, 0, 14, 1, 0, 5, 0, RNA
8, 0, 0, 6, 11, 7, 11, 4, 8, 0, 20, 22, 6, 8, 0, 6, 4, 22, 12, 11, 0, 9, 1, 0, 5, 0, RNA
20, 0, 2, 10, 16, 4, 11, 9, 8, 0, 11, 20, 9, 6, 0, 19, 9, 16, 9, 10, 0, 18, 3, 0, 9, 0, RNA
13, 0, 3, 8, 15, 6, 17, 2, 31, 0, 20, 15, 4, 10, 0, 7, 15, 15, 7, 10, 0, 10, 3, 0, 7, 0, RNA
24, 0, 0, 9, 16, 5, 19, 4, 18, 0, 23, 13, 5, 7, 0, 10, 9, 21, 9, 11, 0, 22, 4, 0, 4, 0, RNA
2, 0, 4, 3, 2, 2, 7, 1, 2, 0, 9, 1, 2, 1, 0, 2, 1, 3, 0, 1, 0, 2, 3, 0, 2, 0, RNA
12, 0, 0, 7, 5, 2, 8, 5, 9, 0, 18, 19, 2, 3, 0, 8, 4, 14, 11, 6, 0, 10, 2, 0, 6, 0, RNA
8, 0, 0, 4, 2, 0, 5, 3, 2, 0, 18, 3, 3, 3, 0, 7, 1, 8, 2, 4, 0, 3, 1, 0, 3, 0, RNA
12, 0, 0, 5, 7, 2, 8, 5, 11, 0, 19, 15, 5, 1, 0, 9, 3, 13, 13, 8, 0, 8, 2, 0, 5, 0, RNA
7, 0, 1, 5, 3, 3, 10, 4, 10, 0, 22, 20, 4, 4, 0, 9, 9, 12, 11, 5, 0, 7, 2, 0, 5, 0, RNA
16, 0, 8, 9, 9, 11, 17, 8, 12, 0, 24, 12, 6, 6, 0, 10, 6, 22, 11, 5, 0, 14, 2, 0, 6, 0, RNA
25, 0, 4, 7, 10, 7, 33, 10, 16, 0, 26, 11, 3, 9, 0, 14, 5, 28, 8, 11, 0, 23, 1, 0, 6, 0, RNA
23, 0, 0, 9, 8, 5, 35, 10, 18, 0, 19, 16, 2, 11, 0, 11, 8, 26, 15, 10, 0, 20, 1, 0, 7, 0, RNA
8, 0, 0, 4, 10, 3, 7, 3, 10, 0, 18, 10, 3, 6, 0, 5, 5, 11, 8, 6, 0, 9, 0, 0, 4, 0, RNA
167, 0, 41, 116, 111, 91, 154, 50, 129, 0, 111, 185, 50, 100, 0, 124, 85, 96, 166, 149, 0, 150, 31, 0, 87, 0, RNA
12, 0, 3, 6, 5, 6, 16, 3, 6, 0, 17, 13, 3, 7, 0, 5, 3, 15, 6, 1, 0, 13, 2, 0, 0, 0, RNA
19, 0, 4, 10, 23, 14, 18, 1, 21, 0, 19, 23, 8, 9, 0, 25, 18, 25, 21, 16, 0, 17, 6, 0, 6, 0, RNA
11, 0, 1, 15, 16, 3, 13, 10, 4, 0, 4, 18, 5, 4, 0, 7, 5, 7, 4, 12, 0, 12, 1, 0, 2, 0, RNA
5, 0, 0, 6, 4, 1, 11, 3, 4, 0, 18, 4, 4, 4, 0, 6, 5, 3, 5, 4, 0, 15, 0, 0, 1, 0, RNA
36, 0, 7, 22, 36, 21, 35, 16, 25, 0, 20, 50, 14, 8, 0, 26, 20, 47, 22, 10, 0, 30, 5, 0, 14, 0, RNA
15, 0, 0, 7, 18, 13, 15, 4, 14, 0, 19, 23, 7, 13, 0, 9, 3, 12, 15, 17, 0, 14, 5, 0, 10, 0, RNA
19, 0, 0, 9, 12, 8, 26, 3, 8, 0, 19, 11, 4, 8, 0, 6, 8, 12, 9, 16, 0, 28, 2, 0, 1, 0, RNA
67, 0, 3, 42, 43, 16, 46, 23, 28, 0, 21, 74, 14, 18, 0, 27, 31, 53, 16, 32, 0, 38, 12, 0, 10, 0, RNA
2, 0, 3, 4, 9, 0, 5, 1, 10, 0, 17, 8, 1, 2, 0, 5, 2, 6, 3, 0, 0, 3, 2, 0, 4, 0, RNA
7, 0, 2, 5, 6, 3, 12, 1, 12, 0, 11, 8, 4, 6, 0, 5, 3, 12, 6, 5, 0, 14, 0, 0, 1, 0, RNA
13, 0, 1, 6, 8, 3, 9, 0, 10, 0, 11, 6, 3, 5, 0, 6, 3, 10, 4, 5, 0, 17, 0, 0, 2, 0, RNA
13, 0, 1, 6, 8, 3, 9, 0, 9, 0, 11, 6, 3, 5, 0, 6, 3, 10, 4, 5, 0, 18, 0, 0, 2, 0, RNA
9, 0, 2, 6, 7, 3, 12, 0, 11, 0, 10, 5, 2, 5, 0, 4, 3, 11, 8, 7, 0, 16, 0, 0, 1, 0, RNA
20, 0, 2, 14, 11, 9, 14, 10, 5, 0, 10, 17, 5, 2, 0, 8, 7, 22, 18, 9, 0, 15, 2, 0, 6, 0, RNA
6, 0, 2, 12, 8, 7, 8, 6, 18, 0, 17, 11, 5, 7, 0, 7, 7, 11, 10, 6, 0, 3, 1, 0, 10, 0, RNA
16, 0, 0, 7, 7, 2, 8, 3, 9, 0, 15, 8, 1, 5, 0, 1, 2, 9, 7, 7, 0, 8, 0, 0, 4, 0, RNA
25, 0, 2, 12, 26, 9, 37, 10, 35, 0, 22, 32, 2, 10, 0, 17, 8, 22, 18, 14, 0, 30, 5, 0, 5, 0, RNA
18, 0, 0, 8, 5, 3, 9, 3, 5, 0, 11, 10, 1, 5, 0, 1, 1, 11, 8, 8, 0, 10, 0, 0, 3, 0, RNA
18, 0, 0, 3, 11, 1, 7, 5, 11, 0, 11, 11, 3, 2, 0, 4, 5, 17, 13, 7, 0, 8, 0, 0, 3, 0, RNA
34, 0, 0, 20, 47, 13, 22, 6, 24, 0, 48, 43, 8, 12, 0, 18, 11, 33, 13, 10, 0, 20, 6, 0, 14, 0, RNA
4, 0, 1, 5, 9, 5, 7, 7, 11, 0, 8, 7, 1, 1, 0, 6, 1, 6, 4, 3, 0, 15, 1, 0, 2, 0, RNA
40, 0, 5, 30, 55, 28, 30, 9, 40, 0, 43, 43, 8, 11, 0, 25, 12, 32, 27, 22, 0, 43, 5, 0, 26, 0, RNA
5, 0, 0, 2, 7, 3, 7, 1, 5, 0, 5, 5, 3, 8, 0, 2, 1, 5, 7, 2, 0, 5, 1, 0, 4, 0, RNA
222, 0, 13, 49, 40, 29, 189, 49, 44, 0, 46, 88, 51, 84, 0, 109, 155, 42, 119, 69, 0, 91, 7, 0, 37, 0, RNA
6, 0, 2, 8, 16, 8, 9, 3, 11, 0, 18, 19, 5, 12, 0, 9, 7, 4, 12, 7, 0, 6, 1, 0, 8, 0, RNA
30, 0, 15, 35, 45, 50, 35, 32, 57, 0, 48, 157, 9, 81, 0, 33, 39, 35, 89, 45, 0, 33, 14, 0, 23, 0, RNA
23, 0, 1, 6, 9, 5, 31, 4, 13, 0, 21, 8, 7, 7, 0, 11, 8, 15, 7, 11, 0, 18, 3, 0, 3, 0, RNA
28, 0, 1, 4, 8, 7, 7, 5, 7, 0, 29, 17, 1, 10, 0, 8, 19, 19, 11, 9, 0, 12, 1, 0, 3, 0, RNA
22, 0, 1, 24, 11, 12, 20, 16, 29, 0, 26, 48, 14, 52, 0, 43, 43, 13, 85, 33, 0, 13, 4, 0, 14, 0, RNA
14, 0, 2, 15, 29, 13, 10, 9, 25, 0, 29, 27, 7, 16, 0, 3, 10, 9, 12, 13, 0, 21, 1, 0, 12, 0, RNA
2, 0, 0, 2, 3, 0, 5, 1, 3, 0, 6, 5, 2, 1, 0, 2, 3, 5, 3, 3, 0, 9, 0, 0, 0, 0, RNA
36, 0, 5, 6, 20, 22, 45, 5, 64, 0, 22, 49, 15, 7, 0, 20, 11, 12, 21, 19, 0, 34, 5, 0, 18, 0, RNA
22, 0, 0, 5, 5, 4, 15, 0, 10, 0, 14, 7, 5, 7, 0, 11, 4, 3, 6, 12, 0, 10, 1, 0, 3, 0, RNA
12, 0, 0, 1, 12, 5, 24, 2, 5, 0, 17, 13, 2, 10, 0, 5, 3, 9, 7, 8, 0, 10, 0, 0, 1, 0, RNA
23, 0, 1, 12, 10, 9, 18, 3, 13, 0, 26, 18, 2, 8, 0, 8, 9, 37, 14, 9, 0, 23, 0, 0, 6, 0, RNA
20, 0, 1, 5, 10, 5, 10, 0, 12, 0, 10, 7, 6, 6, 0, 10, 3, 7, 5, 7, 0, 9, 0, 0, 0, 0, RNA
4, 0, 0, 1, 9, 1, 1, 1, 3, 0, 9, 12, 2, 3, 0, 1, 6, 10, 4, 1, 0, 4, 0, 0, 0, 0, RNA
3, 0, 0, 4, 6, 2, 15, 3, 5, 0, 10, 13, 4, 5, 0, 5, 2, 16, 5, 9, 0, 11, 0, 0, 1, 0, RNA
2, 0, 0, 5, 5, 2, 13, 2, 7, 0, 11, 11, 5, 5, 0, 5, 2, 13, 6, 11, 0, 10, 0, 0, 2, 0, RNA
18, 0, 1, 9, 11, 4, 5, 1, 5, 0, 11, 17, 2, 5, 0, 5, 6, 9, 7, 2, 0, 13, 1, 0, 7, 0, RNA
41, 0, 12, 26, 21, 21, 41, 6, 44, 0, 10, 50, 8, 43, 0, 31, 29, 35, 43, 42, 0, 36, 13, 0, 24, 0, RNA
10, 0, 0, 2, 7, 2, 2, 1, 1, 0, 6, 7, 3, 2, 0, 2, 8, 8, 1, 2, 0, 3, 0, 0, 0, 0, RNA
38, 0, 16, 60, 61, 49, 56, 16, 42, 0, 65, 72, 24, 22, 0, 35, 30, 53, 70, 39, 0, 52, 11, 0, 24, 0, RNA
5, 0, 0, 0, 0, 2, 3, 1, 0, 0, 5, 3, 2, 2, 0, 1, 2, 11, 3, 3, 0, 3, 0, 0, 0, 0, RNA
11, 0, 0, 2, 6, 3, 7, 2, 5, 0, 16, 7, 1, 2, 0, 4, 2, 5, 1, 6, 0, 11, 1, 0, 4, 0, RNA
14, 0, 0, 7, 8, 3, 12, 7, 8, 0, 14, 9, 4, 4, 0, 6, 4, 11, 0, 12, 0, 12, 1, 0, 6, 0, RNA
4, 0, 4, 3, 3, 3, 8, 3, 3, 0, 8, 1, 1, 1, 0, 2, 4, 5, 5, 8, 0, 6, 0, 0, 3, 0, RNA
10, 0, 0, 4, 3, 2, 5, 6, 4, 0, 22, 14, 3, 4, 0, 4, 7, 11, 14, 7, 0, 11, 1, 0, 3, 0, RNA
9, 0, 0, 5, 8, 2, 12, 5, 5, 0, 17, 15, 4, 2, 0, 12, 4, 11, 1, 8, 0, 13, 2, 0, 5, 0, RNA
16, 0, 0, 4, 16, 0, 8, 2, 10, 0, 13, 21, 1, 4, 0, 9, 5, 10, 4, 7, 0, 13, 0, 0, 5, 0, RNA
30, 0, 1, 21, 46, 10, 25, 8, 14, 0, 18, 41, 11, 5, 0, 12, 11, 35, 16, 20, 0, 22, 0, 0, 8, 0, RNA
36, 0, 0, 21, 46, 9, 37, 4, 47, 0, 62, 46, 16, 12, 0, 14, 14, 20, 17, 21, 0, 21, 0, 0, 8, 0, RNA
15, 0, 7, 29, 30, 12, 20, 11, 31, 0, 46, 35, 10, 22, 0, 16, 21, 25, 20, 29, 0, 22, 9, 0, 18, 0, RNA
49, 0, 5, 38, 34, 19, 31, 16, 21, 0, 23, 36, 21, 18, 0, 15, 16, 30, 19, 18, 0, 29, 7, 0, 16, 0, RNA
36, 0, 4, 34, 41, 19, 27, 13, 41, 0, 52, 49, 13, 23, 0, 19, 29, 21, 22, 24, 0, 52, 3, 0, 21, 0, RNA
18, 0, 4, 24, 23, 11, 10, 3, 25, 0, 26, 26, 14, 24, 0, 6, 17, 17, 28, 7, 0, 18, 4, 0, 10, 0, RNA
47, 0, 1, 33, 69, 25, 39, 12, 50, 0, 56, 67, 15, 27, 0, 27, 12, 37, 20, 17, 0, 42, 9, 0, 24, 0, RNA
3, 0, 0, 3, 10, 3, 4, 3, 5, 0, 9, 9, 2, 5, 0, 5, 9, 6, 3, 7, 0, 7, 1, 0, 11, 0, RNA
14, 0, 0, 6, 12, 8, 15, 5, 4, 0, 13, 12, 6, 4, 0, 15, 6, 18, 5, 6, 0, 8, 2, 0, 6, 0, RNA
97, 0, 12, 73, 68, 57, 65, 31, 69, 0, 67, 126, 25, 62, 0, 39, 44, 72, 101, 77, 0, 69, 12, 0, 59, 0, RNA
14, 0, 0, 3, 7, 6, 13, 1, 6, 0, 16, 10, 6, 2, 0, 7, 5, 14, 2, 9, 0, 11, 2, 0, 2, 0, RNA
8, 0, 1, 19, 25, 14, 25, 10, 36, 0, 34, 42, 11, 35, 0, 23, 10, 15, 33, 21, 0, 31, 8, 0, 26, 0, RNA
26, 0, 6, 22, 33, 20, 51, 13, 15, 0, 16, 24, 14, 11, 0, 17, 15, 24, 37, 19, 0, 28, 2, 0, 22, 0, RNA
4, 0, 6, 6, 12, 3, 7, 1, 11, 0, 14, 8, 4, 1, 0, 3, 2, 6, 3, 5, 0, 6, 0, 0, 1, 0, RNA
6, 0, 3, 5, 9, 3, 5, 5, 6, 0, 11, 7, 2, 4, 0, 8, 2, 12, 3, 4, 0, 12, 1, 0, 5, 0, RNA
16, 0, 2, 6, 14, 1, 7, 1, 9, 0, 18, 10, 2, 3, 0, 5, 4, 3, 8, 5, 0, 13, 0, 0, 3, 0, RNA
58, 0, 2, 17, 17, 15, 32, 10, 9, 0, 10, 17, 7, 19, 0, 38, 21, 21, 23, 31, 0, 22, 1, 0, 27, 0, RNA
7, 0, 0, 5, 6, 6, 11, 4, 5, 0, 23, 7, 6, 5, 0, 5, 4, 12, 2, 13, 0, 8, 0, 0, 4, 0, RNA
52, 0, 17, 41, 43, 34, 55, 12, 51, 0, 58, 61, 35, 49, 0, 36, 19, 38, 40, 49, 0, 32, 6, 0, 24, 0, RNA
13, 0, 0, 4, 5, 4, 5, 5, 6, 0, 24, 11, 4, 12, 0, 4, 3, 7, 10, 16, 0, 12, 0, 0, 5, 0, RNA
19, 0, 1, 3, 17, 10, 9, 1, 5, 0, 12, 21, 3, 10, 0, 26, 7, 9, 14, 11, 0, 8, 3, 0, 7, 0, RNA
24, 0, 2, 11, 13, 13, 15, 7, 13, 0, 9, 27, 12, 17, 0, 20, 16, 16, 13, 13, 0, 24, 0, 0, 8, 0, RNA
11, 0, 0, 7, 5, 6, 4, 2, 8, 0, 11, 10, 5, 9, 0, 3, 3, 6, 5, 5, 0, 7, 0, 0, 4, 0, RNA
221, 0, 59, 147, 218, 106, 285, 73, 197, 0, 208, 321, 130, 108, 0, 149, 99, 195, 197, 270, 0, 235, 91, 0, 78, 0, RNA
11, 0, 0, 8, 11, 6, 8, 1, 12, 0, 11, 8, 1, 5, 0, 5, 7, 25, 6, 6, 0, 11, 0, 0, 4, 0, RNA
9, 0, 0, 10, 15, 9, 12, 0, 10, 0, 19, 15, 8, 10, 0, 6, 4, 11, 8, 10, 0, 19, 0, 0, 4, 0, RNA
12, 0, 0, 11, 12, 8, 13, 0, 14, 0, 18, 12, 8, 7, 0, 7, 6, 12, 7, 10, 0, 17, 0, 0, 5, 0, RNA
11, 0, 1, 13, 6, 11, 13, 6, 9, 0, 16, 21, 4, 4, 0, 7, 8, 9, 18, 6, 0, 11, 2, 0, 7, 0, RNA
3, 0, 2, 2, 8, 0, 8, 0, 4, 0, 4, 6, 3, 2, 0, 0, 2, 10, 2, 5, 0, 7, 0, 0, 0, 0, RNA
51, 0, 15, 51, 67, 52, 77, 33, 55, 0, 41, 71, 15, 69, 0, 47, 106, 61, 76, 55, 0, 75, 2, 0, 20, 0, RNA
203, 0, 33, 143, 128, 103, 156, 69, 102, 0, 140, 192, 61, 100, 0, 130, 79, 107, 122, 170, 0, 183, 24, 0, 82, 0, RNA
203, 0, 33, 141, 129, 104, 158, 68, 103, 0, 141, 191, 62, 101, 0, 130, 76, 108, 122, 169, 0, 183, 24, 0, 81, 0, RNA
31, 0, 10, 24, 35, 14, 26, 7, 25, 0, 36, 41, 9, 9, 0, 23, 8, 20, 21, 21, 0, 13, 3, 0, 10, 0, RNA
16, 0, 1, 28, 24, 7, 16, 1, 18, 0, 16, 28, 5, 9, 0, 15, 3, 14, 13, 10, 0, 29, 1, 0, 5, 0, RNA
22, 0, 5, 21, 38, 7, 13, 3, 22, 0, 21, 26, 9, 14, 0, 10, 7, 25, 16, 15, 0, 28, 1, 0, 12, 0, RNA
13, 0, 0, 8, 9, 3, 15, 2, 10, 0, 11, 8, 3, 5, 0, 6, 8, 12, 10, 2, 0, 12, 1, 0, 6, 0, RNA
15, 0, 0, 7, 6, 4, 14, 4, 2, 0, 16, 12, 4, 3, 0, 5, 8, 12, 7, 6, 0, 13, 3, 0, 4, 0, RNA
19, 0, 5, 16, 15, 12, 39, 11, 15, 0, 31, 32, 7, 13, 0, 26, 13, 15, 12, 23, 0, 24, 10, 0, 10, 0, RNA
3, 0, 0, 3, 8, 2, 6, 5, 5, 0, 7, 12, 3, 1, 0, 3, 5, 12, 3, 4, 0, 5, 0, 0, 2, 0, RNA
23, 0, 1, 9, 14, 10, 10, 4, 12, 0, 43, 27, 1, 11, 0, 15, 19, 13, 6, 13, 0, 18, 2, 0, 4, 0, RNA
9, 0, 3, 6, 3, 3, 15, 5, 3, 0, 8, 3, 22, 1, 0, 40, 5, 9, 6, 8, 0, 4, 1, 0, 5, 0, RNA
24, 0, 0, 12, 17, 7, 24, 7, 18, 0, 20, 16, 4, 7, 0, 14, 3, 15, 7, 11, 0, 18, 1, 0, 4, 0, RNA
16, 0, 4, 5, 3, 1, 3, 3, 8, 0, 13, 4, 2, 7, 0, 8, 1, 18, 8, 2, 0, 9, 0, 0, 4, 0, RNA
5, 0, 0, 0, 4, 1, 5, 2, 3, 0, 15, 5, 3, 1, 0, 3, 2, 5, 2, 3, 0, 4, 1, 0, 1, 0, RNA
5, 0, 0, 1, 2, 2, 9, 2, 3, 0, 14, 3, 6, 1, 0, 2, 1, 6, 2, 4, 0, 2, 1, 0, 0, 0, RNA
7, 0, 2, 19, 13, 4, 14, 2, 11, 0, 16, 10, 3, 9, 0, 3, 4, 10, 3, 3, 0, 6, 1, 0, 4, 0, RNA
3, 0, 6, 2, 4, 3, 5, 4, 1, 0, 10, 7, 2, 1, 0, 6, 4, 5, 6, 6, 0, 7, 0, 0, 2, 0, RNA
14, 0, 5, 22, 32, 12, 17, 7, 40, 0, 47, 34, 4, 16, 0, 10, 2, 18, 13, 5, 0, 24, 1, 0, 13, 0, RNA
14, 0, 0, 9, 16, 8, 12, 0, 11, 0, 12, 24, 5, 8, 0, 9, 5, 20, 3, 7, 0, 12, 2, 0, 5, 0, RNA
11, 0, 1, 9, 21, 13, 22, 5, 32, 0, 24, 31, 4, 12, 0, 12, 5, 18, 25, 11, 0, 20, 1, 0, 12, 0, RNA
2, 0, 4, 1, 3, 2, 4, 2, 2, 0, 5, 2, 3, 2, 0, 3, 2, 8, 1, 3, 0, 2, 1, 0, 3, 0, RNA
24, 0, 0, 4, 15, 5, 14, 1, 4, 0, 13, 29, 3, 7, 0, 9, 10, 7, 4, 6, 0, 15, 0, 0, 3, 0, RNA
13, 0, 1, 10, 4, 1, 9, 1, 4, 0, 27, 12, 1, 5, 0, 6, 2, 6, 7, 4, 0, 8, 1, 0, 3, 0, RNA
16, 0, 1, 8, 12, 4, 13, 2, 15, 0, 18, 11, 2, 7, 0, 11, 6, 8, 10, 6, 0, 13, 0, 0, 2, 0, RNA
14, 0, 0, 4, 5, 0, 5, 3, 8, 0, 18, 9, 2, 0, 0, 4, 5, 7, 10, 3, 0, 6, 1, 0, 4, 0, RNA
15, 0, 0, 5, 4, 2, 5, 4, 4, 0, 19, 7, 3, 1, 0, 4, 4, 6, 10, 3, 0, 8, 1, 0, 3, 0, RNA
33, 0, 0, 7, 19, 17, 23, 6, 1, 0, 12, 43, 2, 2, 0, 26, 6, 21, 11, 16, 0, 10, 3, 0, 6, 0, RNA
15, 0, 0, 5, 3, 5, 6, 2, 6, 0, 11, 9, 2, 9, 0, 2, 4, 21, 4, 4, 0, 4, 2, 0, 4, 0, RNA
38, 0, 3, 15, 21, 15, 21, 4, 21, 0, 19, 29, 9, 14, 0, 17, 10, 13, 18, 19, 0, 24, 1, 0, 6, 0, RNA
10, 0, 9, 8, 10, 3, 6, 4, 10, 0, 20, 13, 2, 4, 0, 5, 9, 13, 9, 9, 0, 3, 3, 0, 7, 0, RNA
8, 0, 0, 6, 4, 1, 11, 5, 4, 0, 15, 8, 2, 4, 0, 6, 6, 6, 6, 7, 0, 16, 0, 0, 0, 0, RNA
19, 0, 0, 5, 14, 4, 8, 2, 5, 0, 13, 12, 5, 6, 0, 6, 3, 18, 10, 5, 0, 16, 2, 0, 3, 0, RNA
5, 0, 0, 2, 7, 2, 8, 5, 4, 0, 13, 7, 3, 3, 0, 4, 1, 6, 3, 7, 0, 9, 1, 0, 3, 0, RNA
7, 0, 4, 6, 9, 2, 7, 2, 1, 0, 2, 2, 2, 3, 0, 2, 0, 5, 2, 8, 0, 1, 1, 0, 1, 0, RNA
7, 0, 0, 21, 20, 6, 15, 5, 13, 0, 4, 6, 5, 7, 0, 7, 6, 9, 7, 14, 0, 20, 2, 0, 4, 0, RNA
13, 0, 0, 5, 1, 4, 8, 2, 3, 0, 16, 13, 5, 8, 0, 1, 5, 13, 5, 5, 0, 7, 1, 0, 4, 0, RNA
76, 0, 12, 25, 56, 18, 57, 11, 23, 0, 15, 51, 12, 25, 0, 72, 20, 39, 65, 34, 0, 34, 3, 0, 11, 0, RNA
12, 0, 2, 5, 7, 3, 13, 2, 9, 0, 16, 13, 2, 2, 0, 7, 8, 14, 7, 4, 0, 12, 0, 0, 8, 0, RNA
59, 0, 13, 42, 57, 38, 44, 15, 36, 0, 52, 71, 20, 25, 0, 39, 30, 44, 43, 33, 0, 53, 4, 0, 21, 0, RNA
4, 0, 0, 8, 7, 3, 12, 3, 4, 0, 9, 4, 1, 3, 0, 8, 4, 8, 4, 6, 0, 7, 0, 0, 1, 0, RNA
5, 0, 2, 3, 2, 1, 12, 3, 8, 0, 11, 8, 1, 4, 0, 9, 6, 16, 5, 10, 0, 13, 0, 0, 4, 0, RNA
11, 0, 1, 3, 5, 1, 12, 3, 4, 0, 21, 7, 1, 3, 0, 8, 2, 14, 6, 8, 0, 17, 0, 0, 5, 0, RNA
